"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"16682",1418118,2022,"Individual",8,0,0,0,8,0,0,0,0
"16683",1418118,2023,"Individual",4,0,0,0,4,0,0,0,0
"16684",1418118,2024,"Individual",25,0,0,0,4,18,20,1,0
"16685",1418682,2022,"Individual",4,0,0,0,0,0,0,4,0
"16686",1418749,2021,"Individual",2,0,0,0,0,0,0,2,0
"16687",1418749,2022,"Individual",13,0,0,0,0,0,0,13,12
"16688",1418749,2023,"Individual",13,0,0,0,0,0,0,13,10
"16689",1418749,2024,"Individual",12,0,0,0,0,0,0,12,12
"16690",1418810,2021,"Individual",13,0,0,0,0,0,0,13,0
"16691",1418810,2022,"Individual",4,0,0,0,0,0,0,4,0
"16692",1418810,2023,"Individual",39,0,0,0,0,0,39,0,0
"16693",1418991,2024,"Individual",12,0,0,0,0,0,0,12,12
"16694",1419061,2023,"Individual",6,0,0,0,4,0,0,2,0
"16695",1419260,2021,"Individual",108,0,0,0,31,0,68,9,0
"16696",1419260,2022,"Individual",5,0,0,0,0,0,0,5,0
"16697",1419260,2024,"Individual",0,0,0,0,0,0,0,0,0
"16698",1419330,2021,"Business",308,0,288,0,0,0,308,0,0
"16699",1419330,2022,"Business",316,0,300,0,0,0,312,4,0
"16700",1419330,2023,"Business",324,0,292,0,0,0,324,0,0
"16701",1419330,2024,"Business",316,0,292,0,0,0,316,0,0
"16702",1419386,2021,"Individual",13,0,0,0,0,0,0,13,0
"16703",1419386,2022,"Individual",5,0,0,0,0,0,0,5,0
"16704",1419386,2023,"Individual",12,0,0,0,0,0,0,12,0
"16705",1419386,2024,"Individual",3,0,0,0,0,0,0,3,3
"16706",1419801,2021,"Individual",2,0,0,0,0,0,0,2,0
"16707",1419801,2022,"Individual",1,0,0,0,0,0,0,1,0
"16708",1419801,2023,"Individual",2,0,0,0,0,0,0,2,0
"16709",1419891,2021,"Individual",7,0,0,0,0,0,0,7,0
"16710",1419891,2022,"Individual",11,0,0,0,0,0,0,11,0
"16711",1419891,2023,"Individual",11,0,0,0,0,0,0,11,0
"16712",1419891,2024,"Individual",9,0,0,0,0,0,0,9,0
"16713",1419902,2022,"Group",6,0,0,0,0,0,0,6,0
"16714",1419902,2023,"Group",5,0,0,0,0,0,0,5,0
"16715",1419938,2021,"Business",324,0,324,0,0,0,324,0,0
"16716",1419938,2022,"Business",316,0,316,0,0,0,316,0,0
"16717",1419938,2023,"Business",324,0,324,0,0,0,324,0,0
"16718",1419938,2024,"Business",324,0,320,0,0,0,324,0,0
"16719",1420012,2021,"Individual",8,0,0,0,0,0,0,8,0
"16720",1420012,2024,"Individual",11,0,0,0,0,0,0,11,11
"16721",1420027,2024,"Individual",3,0,0,0,0,0,0,3,0
"16722",1420193,2021,"Individual",2,0,0,0,0,0,0,2,0
"16723",1420193,2024,"Individual",8,0,0,0,0,0,0,8,0
"16724",1420502,2021,"Individual",4,0,0,0,0,0,0,4,0
"16725",1420502,2022,"Individual",6,0,0,0,0,0,2,4,0
"16726",1420502,2023,"Individual",4,0,0,0,0,0,4,0,0
"16727",1420502,2024,"Individual",11,0,0,0,0,0,9,2,0
"16728",1420503,2024,"Individual",5,0,0,0,0,0,0,5,0
"16729",1420744,2021,"Individual",2,0,0,0,0,0,0,2,0
"16730",1420893,2022,"Individual",2,0,2,0,0,0,2,0,0
"16731",1420893,2024,"Individual",1,0,1,0,0,0,1,0,0
"16732",1420963,2024,"Individual",4,0,0,0,0,0,0,4,0
"16733",1421020,2021,"Individual",28,0,0,0,0,28,28,0,0
"16734",1421020,2022,"Individual",2,0,0,0,0,0,0,2,0
"16735",1421133,2022,"Individual",18,0,0,0,17,0,0,1,0
"16736",1421133,2023,"Individual",26,0,0,0,0,20,26,0,0
"16737",1421133,2024,"Individual",56,0,0,0,26,24,26,4,0
"16738",1421873,2022,"Individual",47,0,0,0,0,0,39,8,0
"16739",1421873,2023,"Individual",4,0,0,0,0,0,2,2,0
"16740",1421873,2024,"Individual",4,0,0,0,0,0,0,4,0
"16741",1421881,2021,"Individual",18,0,0,0,0,0,0,18,0
"16742",1421881,2022,"Individual",51,0,0,0,0,0,0,51,32
"16743",1421881,2023,"Individual",24,0,0,0,15,0,0,9,0
