ACCOUNT_KEY,AGE,GENDER,MARITAL_STATUS,INCOME_MIDPOINT,CHILDREN_IN_HH,NUMBER_OF_CHILDREN
64279,58,Male,Married,87500,,
64304,61,Male,Married,150000,Y,2
64506,52,Male,Married,125000,Y,3
64510,71,Male,Married,150000,N,0
64697,57,Female,Married,75000,Y,1
64948,,Female,,,,
64972,78,Male,Married,150000,N,0
65055,35,Male,Married,150000,N,
65305,69,Male,Married,150000,N,
65326,,,,,,
65395,,,,,,
65398,58,Male,Married,95000,N,0
65438,36,Male,Single,47500,Y,1
65455,,,,,,
65476,34,,Married,75000,Y,1
65479,54,Male,Married,95000,N,
65579,57,Male,Married,150000,N,0
65596,47,Male,Single,112500,N,0
66291,,,,,,
66464,56,Female,Married,250000,Y,1
66586,,,,,,
66955,77,Male,Married,150000,N,0
67072,,Female,,112500,N,
67109,40,Female,Single,137500,Y,1
67141,,Male,Single,,N,
67201,40,Male,Married,125000,Y,1
67229,,,,,,
67394,,,,,,
67405,,,Married,12500,N,0
67668,31,Female,Single,55000,Y,1
67728,,,,,,
68300,63,Male,Married,85000,Y,1
68343,46,Male,Single,62500,N,0
68430,,,,,,
68520,39,Male,Single,35000,Y,1
68525,28,Male,Married,5000,N,0
68583,,,,,,
68870,68,Male,Married,45000,N,0
69209,67,Female,Married,85000,N,0
69505,80,Female,Married,150000,N,0
69628,44,Female,,,,
69823,46,Male,Married,47500,Y,1
69896,61,Male,Single,25000,N,
69903,,,,,,
69980,54,Male,Married,150000,Y,3
69992,25,Male,Single,150000,N,0
70020,43,Female,Married,150000,Y,3
70227,,,,150000,N,
70254,26,Male,Single,65000,N,0
70379,64,Female,Married,125000,N,0
70581,75,Male,Married,150000,N,0
70611,65,Male,Married,95000,N,0
70974,26,Male,Married,27500,Y,1
70995,76,Male,Married,150000,N,0
71088,40,Male,Married,137500,Y,1
71204,,,,,,
71320,73,Male,Married,75000,N,0
71567,80,Male,Married,45000,Y,1
71634,,,,,,
71720,39,Female,Married,75000,Y,4
71866,,,,,,
71908,,,,,,
71942,,,,,,
71948,,,,,,
72043,73,Male,Married,95000,N,0
72414,43,Male,Single,112500,Y,1
72828,54,Female,Married,112500,N,
72843,24,Male,Single,137500,N,
73056,57,Male,Married,150000,N,0
73353,61,Female,Married,150000,N,
73454,,,,,,
73615,64,Female,Married,112500,N,
73691,67,Male,Married,150000,Y,1
73774,43,Female,Single,95000,Y,1
73803,,,Married,112500,Y,1
73852,60,Male,Married,95000,N,0
74170,50,Male,Single,32500,,
74226,74,Male,Married,112500,N,0
74243,,,,,,
74313,,Male,Married,125000,,
74515,42,Female,Married,150000,Y,2
74593,70,Male,Married,70000,N,0
74997,67,Female,Married,112500,N,0
75075,60,Male,Single,85000,N,0
75148,,,,,,
75169,48,Male,Married,150000,Y,1
75209,,,,,,
75250,36,Male,Married,250000,Y,2
75351,68,Female,Married,137500,N,0
75527,51,Male,Married,112500,Y,4
75528,38,Male,Single,87500,N,0
75579,,,,,,
76306,73,Male,Married,150000,N,0
76318,,,,,,
76409,,,,,,
76597,30,Male,Married,150000,N,0
76691,60,Male,Married,75000,N,
76701,,,,,,
76717,78,Male,Married,125000,,
76776,28,Male,Single,85000,Y,1
76953,63,Female,Married,95000,N,0
76990,49,Female,Married,95000,Y,1
77048,73,Male,Married,150000,Y,1
77095,41,Female,Single,150000,Y,5
77097,56,Female,Married,,N,
77247,59,Male,Married,150000,Y,1
77255,70,Male,Married,87500,N,0
77260,64,Male,,,,
77376,24,Male,Married,,,
77499,45,Female,Married,95000,Y,1
77672,68,Female,Single,150000,N,0
77852,,,,,,
78088,,,,,,
78198,37,Male,Married,137500,Y,1
78204,49,Female,Married,150000,Y,3
78342,,,,,,
78402,50,Male,Married,225000,Y,2
78442,42,Male,Married,45000,N,
78496,51,Male,Married,75000,N,0
78571,70,Male,Single,35000,N,0
78700,58,Male,Married,7500,N,
78950,58,Male,Married,150000,Y,2
79078,59,Male,Married,150000,N,0
79100,,,,,,
79133,47,Female,Married,25000,Y,4
79144,,,,,,
79330,66,Male,Married,25000,N,0
79515,40,Female,Married,137500,Y,4
79518,,,,,,
79733,,,,,,
79742,,,Single,25000,Y,1
79776,56,Male,Married,125000,Y,1
79958,,,,,,
80203,39,Male,Married,150000,Y,4
80227,57,Male,Married,45000,Y,5
80248,38,Female,Married,150000,Y,1
80490,34,Male,Married,70000,N,0
80521,48,Male,Married,95000,Y,2
80563,46,Male,Single,150000,Y,1
80798,46,Female,Single,22500,Y,3
80830,66,,Married,162500,N,0
80910,32,Female,Single,87500,,
81211,77,Female,Married,150000,N,0
81555,62,Male,Single,65000,N,0
81973,54,Female,Married,150000,Y,1
81982,,,,,,
82219,70,Female,Married,112500,N,0
82232,42,Male,Married,150000,Y,2
82258,,,,,,
82410,,,Single,25000,Y,1
82428,46,Male,Married,52500,,
82800,58,Female,Married,162500,Y,1
82874,34,Male,Married,125000,,
82979,,,,,,
83000,42,Male,Married,150000,Y,1
83040,69,Male,Single,25000,N,
83183,45,Female,Married,112500,Y,2
83221,34,Male,Married,137500,Y,1
83315,,,,,,
83443,54,Male,Single,85000,N,0
83456,56,Female,Single,85000,N,0
83502,37,Male,Married,35000,Y,4
83541,25,Male,Married,45000,N,
83635,,,,,,
83663,66,Male,Married,150000,N,0
83793,52,Male,Single,70000,,
83953,59,Male,Married,112500,N,0
84685,23,Male,Married,112500,N,0
84738,83,Female,Married,35000,Y,1
84762,56,Male,Married,95000,N,
84791,62,Male,Married,150000,N,0
85089,37,Male,Married,150000,Y,1
85382,45,Female,Married,75000,Y,5
85531,55,Male,Married,112500,N,0
85687,42,Female,Single,137500,Y,2
85723,,,,,,
85872,42,Female,Married,150000,Y,2
85967,26,Male,Single,87500,N,0
86051,37,Male,Married,112500,Y,2
86234,68,Male,Married,125000,,
86255,50,Male,Married,65000,Y,1
86461,26,Male,Single,45000,Y,1
86534,32,Male,Single,137500,N,
86638,61,Male,Married,150000,N,0
86685,86,Female,Married,17500,N,0
86776,70,Female,Married,75000,Y,1
86867,41,Female,Married,150000,Y,3
87139,,,Married,150000,Y,1
87227,65,Female,Married,150000,Y,1
87297,33,Female,Single,35000,Y,3
87473,77,Male,Single,45000,N,
87507,,,,,,
87572,,,,,,
87764,54,Male,Single,85000,N,0
87767,,,,,,
87787,27,Male,Single,112500,N,
87855,81,Female,Married,150000,N,0
88061,43,Female,Married,150000,Y,5
88397,,,,,,
88415,41,Female,Married,150000,Y,3
88461,54,Female,Single,87500,Y,3
88581,58,Male,Married,150000,N,
89113,59,Female,Single,65000,N,0
89158,70,,Married,95000,N,
89308,65,Male,Single,45000,Y,1
89381,38,Male,Single,150000,Y,1
89510,58,Male,Married,150000,N,0
89553,46,Male,Single,125000,Y,4
90061,48,Male,Married,150000,Y,1
90223,66,Female,Married,87500,Y,1
90391,44,Male,Married,250000,Y,2
90422,70,Male,Married,137500,Y,1
90802,74,Female,Single,35000,N,
91039,,,,,,
91480,39,Male,Single,150000,Y,1
91542,,,,,,
91720,61,Male,Married,150000,N,0
91999,51,Female,Married,150000,N,
92074,54,Male,Married,87500,N,0
92148,53,Male,Married,112500,N,
92302,47,Female,Married,65000,Y,3
92418,67,Male,Married,95000,N,0
92564,55,Male,Married,150000,N,
92570,69,Male,Married,85000,N,0
92719,44,Male,Married,62500,,
93042,53,Male,Married,150000,Y,1
93109,29,Male,Single,45000,Y,1
93792,42,Male,Single,250000,Y,2
93793,44,Male,Single,125000,Y,1
93893,,,,,,
94129,63,Female,Married,112500,N,0
94423,66,Female,Single,162500,N,0
94475,,,,,,
94503,,,Married,7500,N,
94528,58,Male,Married,150000,Y,2
94565,53,Female,Single,65000,N,0
94653,60,Male,Married,87500,N,0
95033,,,,,,
95553,54,Female,Married,47500,N,0
95633,35,Female,Married,150000,Y,1
96018,52,Male,Married,150000,Y,2
96219,,,Single,75000,N,0
96226,60,Female,Married,95000,N,0
96321,62,Male,Single,37500,N,0
96486,,,,,,
96743,59,Female,Married,150000,N,0
96755,52,Male,Single,85000,N,0
96870,67,Male,Married,150000,N,0
